ID,A1,A2,A3,A4,A5,Score
14103__worth_9__free_5,1,1,1,0,0,0.369248292463
4603__fretted_10__mother_16,3,3,2,2,0,1.43651294328
3706__attitudes_14__lax_12,3,3,2,1,0,0.994270517004
3098__settlement_14__achieve_12,2,1,1,0,0,0.378663300407
716__mask_30__stripped_28,2,2,2,1,1,0.722122956036
2692__time_3__round_4,2,2,1,1,1,0.676453364279
5410__stretched_9__ahead_10,2,2,1,1,0,0.702680041197
5595__shape_25__disguise_21,2,2,1,1,0,0.586667032238
8227__dramatic_24__warbling_25,3,3,3,3,3,1.99975326287
8147__fat_18__stale_16,3,2,2,0,0,0.65552776054
1852__network_4__constructing_27,3,2,1,1,0,0.574426023537
3576__social_24__malaise_27,3,3,3,2,0,1.1763296292
8100__persuasion_6__soft_5,3,3,3,3,2,2.1107807518
3739__particular_24__listed_19,2,0,0,0,0,0.153615485052
3635__namely_27__linking_29,2,1,0,0,0,0.294456348517
7013__mounted_13__scenes_9,2,2,2,1,1,0.890230707633
3444__objective_3__central_2,2,1,1,1,1,0.746438616219
167__solo_12__scale_13,3,2,2,1,1,0.978885059166
1597__expected_20__entitled_35,3,2,0,0,0,0.397329621855
4560__tools_17__solution_20,1,1,1,0,0,0.443350009658
8460__paid_7__kept_2,1,1,0,0,0,0.311760235363
190__held_5__positions_2,1,1,1,1,0,0.504554630774
7127__dips_2__preparing_15,3,0,0,0,0,0.174491495532
838__industry_17__image_19,2,1,1,1,1,0.660718485287
4673__watched_20__round_26,2,2,0,0,0,0.294189519
11133__stuff_19__chart_18,3,2,2,1,1,0.94054254418
6391__science_2__image_6,2,1,1,0,0,0.370467441431
4569__potential_7__role_8,3,2,1,1,0,0.775984931547
1906__capacity_25__pyramid_2,3,1,0,0,0,0.328916735623
4554__assigned_28__base_5,2,1,0,0,0,0.35917361748
6995__meeting_2__round_12,2,2,1,0,0,0.398064894108
2128__changed_3__subject_5,1,1,1,1,1,0.632544225242
3516__labour_29__flight_24,2,2,2,1,0,0.718684077608
3743__extent_9__feature_3,3,1,1,0,0,0.572847900583
5218__space_57__invaders_53,3,2,2,1,0,0.786632058497
