ID,Word,Metaphor,Score,Word POS Tag,Metaphor POS Tag,Sentence
14103,worth,free,0.369248292,Adjective,Adjective,So I get a M_free twenty five pound worth of Marks and Spencers erm gift vouchers which .
7061,worth,regiment,0.488326962,Adjective,Noun,"I told Northcliffe that if his people would M_make enquiries M_at our Central Office , he would M_find that our nightly M_regiment of speakers was at least as well M_worth reporting as the Radical M_contingent , but that I realized that M_from the Press M_point of M_view , no doubt , our speakers did not play up to the reporters by> M_handing them their speeches M_in M_advance , and by other tricks of the kind to which the Radical orators M_have recourse ."
1190,mills,worth,0.382523847,Noun,Adjective,"But Bankside is nevertheless a M_sound structure which , like the best mills of the Industrial Revolution , is well M_worth preserving and is perfectly M_capable of adaptation for a new commercial use ."
1489,commercial,plans,0.68437755,Adjective,Noun,M_Take away or subsidise all nuclear power stations and you M_lose the commercial logic of the privatisation M_plans .
1500,commercial,pressures,0.548916423,Adjective,Noun,"M_Under M_strain for a M_start because it was technically M_ill-equipped to M_avert disaster or to M_cope M_with the consequences when disaster M_struck ; M_under M_strain M_from commercial M_pressures which , as the inquiry M_puts it , ‘ M_compromised ’ safety ; M_under M_strain M_above all because the people on the spot could n't or would n't cope , were weary M_from gruesome working hours ( the M_senior signal technician who M_heads the list of the culpable had M_had only one day M_off M_in the past 13 weeks ) , lacked adequate M_training , or simply could n't be bothered ."
3563,growth,pressures,0.504554631,Noun,Noun,"M_This was by no means an accident , since M_throughout the 1970s a M_powerful M_body of media , political , and academic opinion had been M_constructed M_around the theme of how Britain was M_drifting M_into a ‘ violent society ’ , and how the basis of consent was being M_shifted by the M_pressures of immigration and the M_growth of multi-racial inner city areas ."
6652,makes,growth,0.478775974,Verb,Noun,"Unlike Lukács ' insignificant event M_from which the universal is precariously M_drawn M_out M_through the narrative , Sartre 's singularity M_works synecdochally M_in a conventional antinomy M_with the universal , the M_relation M_between the two M_structured according to the M_familiar nineteenth-century M_model of M_organic M_growth or process M_in which each singular event M_makes M_up the whole while , as he M_puts it , ‘ the whole is entirely present M_in the M_part as its M_present meaning and as its destiny ’ ."
2626,arguments,powerful,0.731905413,Noun,Adjective,"There are M_powerful arguments in favour of saying that there are other killings M_where an intent to kill can not be established , and yet M_where the moral or social culpability is equal M_to M_that M_in most intentional killings ."
2957,people,powerful,0.66794984,Noun,Adjective,The British people have M_in the past M_found them rather more M_powerful than the corporations which are popularly supposed to finance the Conservative party .
6323,contrast,express,0.203022634,Noun,Verb,"M_In M_contrast , only a minority of girls M_express an M_interest M_in science M_at any age but there is no obvious M_swing M_from science M_in the M_middle and late teens ."
197,reduced,role,0.647485672,Verb,Noun,During his term as President of FISA he gradually M_reduced his M_role M_in Eduard Keller Ltd and used the company offices to provide a world M_headquarters for rowing .
170,genial,landmark,1.334043647,Adjective,Noun,"He seemed a genial and M_indestructible M_landmark M_in the history of American music , in spite of defective hearing which had M_bothered him since the late Seventies ."
