,sentence_id,word,metaphor,Score,sentence_txt
515,2790,D,changes,0.429842028,"It makes a conveniently central hub : the Marais Poitevin village of Coulon is 27 miles to the north by the D120 , which inexplicably changes its number at the top of a hill to D115 ."
972,11094,ver,bit,0.203022634,"Yeah , but it was a , it was also a it was a bit of a celebrity , I mean it was people , people were crushed around , bloody hell I mean"
1266,2785,D,Wriggling,0.283756484,"Wriggling across country on the D216 to Port d'Envaux , you come to two more chateaux : 18th century Panloy , flaking romantically away on its hillock overlooking a bend in the Charente and , almost next door , the much older , moated Crazannes , half smothered in amazing flamboyant Gothic carving ."
1380,5186,tang,,1.387554189,"And now , for the first time , he thought that he could smell the North Sea , that potent but half illusory tang evoking nostalgic memories of childhood holidays , of solitary adolescent walks as he struggled with his first poems , of his aunt 's tall figure at his side , binoculars round her neck , striding towards the haunts of her beloved birds ."
1399,2051,provided,,0.65343208,"He could see with half an eye that the kid 's aunt was going to be one of the confident , bossy , well connected women with whom that part of Cambridgeshire was substantially over provided ."
1604,9965,lik,yo,0.507200101,"Mm , it would bounce up and down like a yo yo"
1656,4976,goat,,0.62773378,"  I feel like a Maharajah waiting for the tiger to pounce on the tied up goat ,   Forster grinned ."
1902,5616,emerging,companion,0.257200514,"He was emerging in stately fashion from Wavebreaker 's companionway and , though I could see he was tall and lanky and had a ponytail of hair , I could make out no details of his face ."
1926,16083,dAzure,spend,0.18777984,Well you can spend some days on the Cote d'Azure
2022,851,Austin,range,0.620389665,"What is certain is that the pre 1989 Austin/MG range , all Skodas , Yugos and quite a few Lancias do not , which does not help already depressed resale prices ."
2115,763,s,anxious,0.876990446,"In the anxious and eventful late 1980s and 1990s , they may come to represent , like All Creatures Great and Small in Britain , a less confusing past with simpler , deeper values ."
2221,4976,pounce,,0.38590782,"  I feel like a Maharajah waiting for the tiger to pounce on the tied up goat ,   Forster grinned ."
2363,3079,p,return,0.307674972,"The market yield , a historic 4  p.c. , could return back above 5 p.c. , therefore giving basic rate taxpayers a real return with the prospect of real growth too ."
